feature_group_a,feature_value_a,feature_group_b,feature_value_b,article_count,article_pct
conceptual_theme,information_behavior_and_practice,evidence_type,practitioner_reflection,25,11.0
game_format,virtual_or_augmented_reality,source_type,peer_reviewed_journal_article,25,11.0
evidence_type,practitioner_reflection,library_context,public_library,25,11.0
conceptual_theme,games_as_cultural_media,game_format,virtual_or_augmented_reality,25,11.0
conceptual_theme,information_behavior_and_practice,service_area,discovery_and_advisory,25,11.0
conceptual_theme,information_behavior_and_practice,evidence_confidence,practitioner_knowledge,25,11.0
library_context,non_library_context,service_conditions_addressed,inclusive_design_or_accessibility,25,11.0
conceptual_theme,information_behavior_and_practice,evidence_confidence,theoretical_or_conceptual,25,11.0
conceptual_theme,games_as_cultural_media,service_area,discovery_and_advisory,25,11.0
evidence_confidence,practitioner_knowledge,game_format,tabletop_roleplaying_game,25,11.0
conceptual_theme,games_as_cultural_media,evidence_type,empirical_study,25,11.0
evidence_type,evidence_synthesis,source_type,peer_reviewed_journal_article,25,11.0
service_area,discovery_and_advisory,service_audience,general_public,25,11.0
game_format,tabletop_roleplaying_game,service_area,community_and_inclusion,24,10.6
conceptual_theme,service_ecology,intended_outcome,engagement_and_participation,24,10.6
service_area,programming_and_facilitation,service_audience,general_public,24,10.6
primary_methodology,qualitative_study,service_area,learning_and_literacy,24,10.6
conceptual_theme,game_literacy,conceptual_theme,service_ecology,24,10.6
primary_methodology,none,source_type,professional_publication,24,10.6
service_conditions_addressed,inclusive_design_or_accessibility,source_type,professional_publication,24,10.6
service_area,outreach_and_partnerships,service_audience,general_public,24,10.6
conceptual_theme,educational_psychology,conceptual_theme,games_as_cultural_media,24,10.6
evidence_type,evidence_synthesis,service_conditions_addressed,access_infrastructure_required,24,10.6
conceptual_theme,social_equity_and_access,source_type,peer_reviewed_journal_article,24,10.6
conceptual_theme,participatory_culture_and_production,intended_outcome,engagement_and_participation,24,10.6
library_context,public_library,service_area,programming_and_facilitation,24,10.6
game_format,tabletop_roleplaying_game,service_area,programming_and_facilitation,24,10.6
evidence_confidence,practitioner_knowledge,service_area,programming_and_facilitation,24,10.6
service_area,community_and_inclusion,service_area,outreach_and_partnerships,24,10.6
evidence_confidence,descriptive_only,service_conditions_addressed,skilled_facilitation_required,24,10.6
game_format,virtual_or_augmented_reality,service_conditions_addressed,inclusive_design_or_accessibility,24,10.6
primary_methodology,evidence_synthesis,source_type,peer_reviewed_journal_article,24,10.6
service_area,discovery_and_advisory,service_conditions_addressed,inclusive_design_or_accessibility,24,10.6
game_format,game_creation,service_conditions_addressed,skilled_facilitation_required,24,10.6
conceptual_theme,social_equity_and_access,service_conditions_addressed,evaluation_or_reflection,24,10.6
conceptual_theme,information_behavior_and_practice,service_area,outreach_and_partnerships,24,10.6
primary_methodology,evidence_synthesis,service_conditions_addressed,access_infrastructure_required,24,10.6
evidence_confidence,practitioner_knowledge,intended_outcome,engagement_and_participation,24,10.6
evidence_confidence,theoretical_or_conceptual,service_area,learning_and_literacy,24,10.6
game_format,game_creation,service_area,learning_and_literacy,24,10.6
conceptual_theme,service_ecology,intended_outcome,learning_and_literacy,24,10.6
conceptual_theme,educational_psychology,conceptual_theme,game_literacy,24,10.6
conceptual_theme,games_as_cultural_media,service_conditions_addressed,community_assessment_needed,23,10.1
service_area,collections_and_access,service_area,community_and_inclusion,23,10.1
conceptual_theme,information_behavior_and_practice,service_conditions_addressed,community_assessment_needed,23,10.1
